"x","MC reward","sarsa reward","q reward"
"9900","-0.022567110177404287","-0.026719780219780213","-0.026997525865946927"
"10000","-0.014891286001580106","-0.019776556776556778","-0.014939668174962294"
"10100","-0.023617481203007516","-0.01810633484162896","-0.020361874236874244"
"10200","-0.02615502070393374","-0.009701368806631961","-0.01027941176470588"
"10300","-0.02177609890109889","-0.012046398046398045","-0.016942873303167426"
"10400","-0.012210730446024554","-0.01425824175824176","-0.02768482905982907"
"10500","-0.023443584923848074","-0.01335866910866911","-0.024260892616155782"
"10600","-0.019935145650702916","-0.016055306535569695","-0.015151098901098902"
"10700","-0.02135953996983408","-0.021863095238095244","-0.016607905982905985"
"10800","-0.021088935574229684","-0.016171003016591252","-0.017236874236874238"
"10900","-0.012136446886446875","-0.021388080873375","-0.014599619334913452"
"11000","-0.013734539969834078","-0.019801542411836535","-0.013493589743589746"
"11100","-0.011394383394383383","-0.01865674603174603","-0.01175869963369963"
"11200","-0.00559157509157508","-0.018275335775335782","-0.012448717948717946"
"11300","-0.016434721014842713","-0.01172782446311858","-0.011079116059379215"
"11400","-0.009240384615384605","-0.014472985347985351","-0.020254590095147372"
"11500","-0.015797268907563018","-0.02306605314190454","-0.02284982819038547"
"11600","-0.017507687487950636","-0.008288461538461533","-0.016672161172161172"
"11700","-0.012227716727716716","-0.014685592185592187","-0.013817873303167421"
"11800","-0.017531746031746023","-0.017954778065072185","-0.027106227106227104"
"11900","-0.012963935574229682","-0.0196440379795643","-0.01814184499710816"
"12000","-0.02132347554406377","-0.015154411764705885","-0.013592032967032968"
"12100","-0.0084345238095238","-0.008844780219780217","-0.012853276353276355"
"12200","-0.011236874236874226","-0.03230921529450941","-0.006639652014652009"
"12300","-0.02424964985994397","-0.03574481074481074","-0.018654061624649866"
"12400","-0.012736263736263728","-0.013374191984486103","-0.012201923076923075"
"12500","-0.012210730446024557","-0.024311366651923936","-0.009701368806631961"
"12600","-0.008942002442002429","-0.008888888888888885","-0.028044455544455543"
